text,silver_label,silver_confidence,silver_probs,source_label,agreement
Bet it will take till day 22/23,Neutral,0.7149,"{""Negative"": 0.2022, ""Neutral"": 0.7149, ""Positive"": 0.0828}",Neutral,yes
Aspirin....at least take aspirin..to stay alive.,Neutral,0.4989,"{""Negative"": 0.2982, ""Neutral"": 0.4989, ""Positive"": 0.2029}",Neutral,yes
Has anyone taken notes?,Neutral,0.8780,"{""Negative"": 0.1033, ""Neutral"": 0.878, ""Positive"": 0.0188}",Neutral,yes
God bless the ranchers who haven't forgotten their past 😢😢,Positive,0.6615,"{""Negative"": 0.0596, ""Neutral"": 0.2789, ""Positive"": 0.6615}",Positive,yes
"In uno my friends play with the interception rule, where we can stack the same number on each other, 1s can go on other 1s with diff colors, 2 with 2s, and so on, we can stack plus 2s and plus 4s but if someone had a wild card they can cancel the plus 4 out but not the plus two, plus 2s cant be stacked onto wilds tho. Once the wild card cancels out the plus 4, its the next persons turn but if they have a plus 4, they can place it on but it will just start over with the plus 4 and the other plus 2s and plus 4s are canceled.",Neutral,0.4460,"{""Negative"": 0.2593, ""Neutral"": 0.446, ""Positive"": 0.2947}",Neutral,yes
what is this supposed to be? America's finest dish?,Negative,0.7366,"{""Negative"": 0.7366, ""Neutral"": 0.249, ""Positive"": 0.0144}",Negative,yes
The day you don’t turn up to school 😂,Neutral,0.4355,"{""Negative"": 0.3393, ""Neutral"": 0.4355, ""Positive"": 0.2252}",Neutral,yes
Following this video is somewhat confusing; it's difficult to stay focused in general.,Negative,0.6248,"{""Negative"": 0.6248, ""Neutral"": 0.3532, ""Positive"": 0.0219}",Negative,yes
This is a man that was found guilty of perjury and he himself said that Trump had nothing to do with paying off Stormy Daniels. Get someone more credibility.,Negative,0.8222,"{""Negative"": 0.8222, ""Neutral"": 0.0762, ""Positive"": 0.1016}",Negative,yes
He literally punched himself out of energy,Neutral,0.6249,"{""Negative"": 0.1656, ""Neutral"": 0.6249, ""Positive"": 0.2095}",Neutral,yes
The Man a boss idc what the crooked media try to paint him to be. Perfect?…nah but definitely not the monster they try to make him,Positive,0.5016,"{""Negative"": 0.3534, ""Neutral"": 0.145, ""Positive"": 0.5016}",Positive,yes
"Created function as hinted at the end, works perfectly 🤌 function addDiv(text,color) { let div = document.createElement('div') let addText = document.createTextNode(text) div.style.padding = ""12px"" div.appendChild(addText) div.style.backgroundColor = color document.body.appendChild(div) } addDiv(""usman"",""red"")",Neutral,0.7900,"{""Negative"": 0.1202, ""Neutral"": 0.79, ""Positive"": 0.0898}",Positive,no
They might be large and mighty but their environment is far more dangerous.,Positive,0.3872,"{""Negative"": 0.3821, ""Neutral"": 0.2306, ""Positive"": 0.3872}",Positive,yes
"I admit, my vote for Harris is hastily a protest vote against T, but have learned much about her I've enjoyed.",Positive,0.5394,"{""Negative"": 0.1036, ""Neutral"": 0.357, ""Positive"": 0.5394}",Positive,yes
"I think this is the best looking coding video I've ever seen. Coding videos tend to be very dry, but the way you highlight the commands in that little popup window and direct the attention to what you're doing really makes the video feel good to watch. Kudos!",Positive,0.8837,"{""Negative"": 0.03, ""Neutral"": 0.0864, ""Positive"": 0.8837}",Positive,yes
She's a war hawk but occasionally preaches about freedom. These days she represents nothing new really. She has turned out to be quite pro establishment.,Negative,0.6609,"{""Negative"": 0.6609, ""Neutral"": 0.2718, ""Positive"": 0.0673}",Negative,yes
"Biden-Harris administration has to go. Vote them, Congress and Senate Democrats out of office on next elections.",Negative,0.5880,"{""Negative"": 0.588, ""Neutral"": 0.3329, ""Positive"": 0.0791}",Negative,yes
Amazing lady!!!we need more people like you in this world 🎉❤,Positive,0.9314,"{""Negative"": 0.0163, ""Neutral"": 0.0523, ""Positive"": 0.9314}",Positive,yes
Being as iv tried indian snacks its the same lil difference but like base line same,Neutral,0.6821,"{""Negative"": 0.1185, ""Neutral"": 0.6821, ""Positive"": 0.1994}",Neutral,yes
No fire prevention protocol here . The Mayor and the Governor need to be indicted for criminal negligence!!,Negative,0.8907,"{""Negative"": 0.8907, ""Neutral"": 0.0777, ""Positive"": 0.0316}",Negative,yes
uhhhhhhhhhhhhhhhhhhhhhhhhhhhh hahahahahahah,Neutral,0.6180,"{""Negative"": 0.2459, ""Neutral"": 0.618, ""Positive"": 0.1361}",Neutral,yes
"From 2023.9.24 this solution will result in TLE, I am assuming the dummy node initialization and the merging of the two lists is much more inefficient than the priority queue. Any comments?",Neutral,0.5568,"{""Negative"": 0.3878, ""Neutral"": 0.5568, ""Positive"": 0.0554}",Negative,no
"So, where exactly does the speedrun aspect come into play here?",Neutral,0.6414,"{""Negative"": 0.3161, ""Neutral"": 0.6414, ""Positive"": 0.0425}",Negative,no
"That's a pretty weak lock for a door that I could easily break by just pushing hard. These doors are those cheap, hollow types.",Negative,0.6383,"{""Negative"": 0.6383, ""Neutral"": 0.2176, ""Positive"": 0.1441}",Negative,yes
It's not natural disaster. Could've been prevented. Hurricanes are natural disaster.,Negative,0.6315,"{""Negative"": 0.6315, ""Neutral"": 0.2625, ""Positive"": 0.106}",Negative,yes
"I dont like coding,I like non technical things but I am in the coding field what to do ,I don't have any backup",Neutral,0.5597,"{""Negative"": 0.3777, ""Neutral"": 0.5597, ""Positive"": 0.0626}",Negative,no
Haha. I love your videos. The wit is on point and you pretty much talked about all the main things I found interesting from CES as well.,Positive,0.9518,"{""Negative"": 0.0192, ""Neutral"": 0.029, ""Positive"": 0.9518}",Positive,yes
"The easier and more cost effective way to solve this is to have a groove on either side of the piston seal to accommodate a Trelleborg C380 wear band. This will centre the piston in the barrel and keep dirt away from the seal. Make sure that the gaps on either side of the seal are maximized for the design pressure of the cylinder. Flush the whole hydraulic system after such type of damage since the chips as a result of scoring can have any shape and size and will distribute themselves throughout the system. They might destroy the pump leading to high costs. I agree to your first conclusion, bad design!",Negative,0.3707,"{""Negative"": 0.3707, ""Neutral"": 0.3317, ""Positive"": 0.2975}",Negative,yes
"Funny, a senator knew the virus was on it's way and is a scam but trimp didnt know? Unusual.",Negative,0.5318,"{""Negative"": 0.5318, ""Neutral"": 0.292, ""Positive"": 0.1762}",Negative,yes
It's completely blank for me; nothing shows up.,Negative,0.8062,"{""Negative"": 0.8062, ""Neutral"": 0.1408, ""Positive"": 0.0531}",Negative,yes
"Well well well, at first I adored the idea of this series. It truly sounded like a masterpiece until I managed to go further into it. To be very honest this series seems more like a crash course. Everything is so rushed (even the bgm is kinda fast lol). Not saying that it's useless. It's a boon for those who want to brush up on concepts or just are having their shift from another language to C++. As a beginner, it's not that great of a series. I hope that my words get taken as constructive criticism. Love you Apna College!",Positive,0.7775,"{""Negative"": 0.137, ""Neutral"": 0.0856, ""Positive"": 0.7775}",Negative,no
Needs to be a class action suit.,Negative,0.4099,"{""Negative"": 0.4099, ""Neutral"": 0.2319, ""Positive"": 0.3582}",Positive,no
"Dang 64k women left the workforce? Did they... Get married? Get pregnant? Women have nore jobless options then men, how many men left the workforce?",Neutral,0.7189,"{""Negative"": 0.2639, ""Neutral"": 0.7189, ""Positive"": 0.0172}",Neutral,yes
"""the rules of war is made by the ones who never saw combat"".",Neutral,0.7267,"{""Negative"": 0.1836, ""Neutral"": 0.7267, ""Positive"": 0.0897}",Neutral,yes
The parents don't care about anything. There's no remorse.,Negative,0.8768,"{""Negative"": 0.8768, ""Neutral"": 0.0649, ""Positive"": 0.0583}",Negative,yes
"in the 2nd game,what about the team on the other side",Neutral,0.8449,"{""Negative"": 0.1215, ""Neutral"": 0.8449, ""Positive"": 0.0337}",Neutral,yes
"""He achieved his goal but still didn't get a like."" Do you think we are going to like the video? It's not your clip, so don't expect us to give it a thumbs up.",Negative,0.6723,"{""Negative"": 0.6723, ""Neutral"": 0.2382, ""Positive"": 0.0895}",Negative,yes
mern stack pls,Neutral,0.7541,"{""Negative"": 0.0609, ""Neutral"": 0.7541, ""Positive"": 0.1849}",Neutral,yes
Kinsella still a Liberal. Its going to be a tighter race? Doesn't matter who wins the leadership race. The Liberals are done. Maybe you Easterners will get it right this time.,Negative,0.6276,"{""Negative"": 0.6276, ""Neutral"": 0.0917, ""Positive"": 0.2806}",Negative,yes
"First Jame's bond now Paddington bear, so happy she is enjoying things lately",Positive,0.9056,"{""Negative"": 0.0115, ""Neutral"": 0.0829, ""Positive"": 0.9056}",Positive,yes
You use Ableton??????? I didn’t know you produced!,Neutral,0.7631,"{""Negative"": 0.1012, ""Neutral"": 0.7631, ""Positive"": 0.1357}",Neutral,yes
Great program 🇵🇰👍👏,Positive,0.8765,"{""Negative"": 0.0112, ""Neutral"": 0.1123, ""Positive"": 0.8765}",Positive,yes
"One of the best tutorial of prototype .... Moreover, the title of tutorial (Magic of Prototype in js) , is completely matching the energy of tutorial .Thank you so much sir.",Positive,0.8638,"{""Negative"": 0.0125, ""Neutral"": 0.1238, ""Positive"": 0.8638}",Positive,yes
"No ceasefire, no compromise, no forgiveness...",Negative,0.9695,"{""Negative"": 0.9695, ""Neutral"": 0.0239, ""Positive"": 0.0066}",Negative,yes
"python looks like, but for a java gui like me there are some things I cant get over: no ; : and no { } None vs null",Negative,0.5072,"{""Negative"": 0.5072, ""Neutral"": 0.4504, ""Positive"": 0.0425}",Negative,yes
Utter b.s. ruperts idiot trumpsucker channel.,Negative,0.9482,"{""Negative"": 0.9482, ""Neutral"": 0.018, ""Positive"": 0.0338}",Negative,yes
Na I would never trust something like that with something as dangerous as a Semi truck and I drove a truck Na Hell No,Negative,0.8644,"{""Negative"": 0.8644, ""Neutral"": 0.0327, ""Positive"": 0.1029}",Negative,yes
...I think you could use a couple more lessons on economics yourself,Negative,0.3886,"{""Negative"": 0.3886, ""Neutral"": 0.382, ""Positive"": 0.2294}",Negative,yes
You look great with bart.,Neutral,0.5283,"{""Negative"": 0.1573, ""Neutral"": 0.5283, ""Positive"": 0.3143}",Neutral,yes
"Thank you BOTH for Not interrupting S.S., he speaks in a way that most hosts cannot allow his pauses, you did it right and what a great interview!",Positive,0.9045,"{""Negative"": 0.0693, ""Neutral"": 0.0262, ""Positive"": 0.9045}",Positive,yes
"Почему у них специфический голос (у цыганок)?с закрытыми глазами можно узнать,что разговаривает цынанка?🤔",Neutral,0.6180,"{""Negative"": 0.2459, ""Neutral"": 0.618, ""Positive"": 0.1361}",Neutral,yes
"I believe in humanity and human rights. In short, I have no need for a God.",Positive,0.4481,"{""Negative"": 0.3489, ""Neutral"": 0.2031, ""Positive"": 0.4481}",Positive,yes
React is one of the technologies I'd planned on learning this year after doing alot of backend work with python and some bootstraping and i think this course is just so much of a good thing that has happen so far to me. Thanks alot FCC and SCRIMBA we really appreciate.,Positive,0.8923,"{""Negative"": 0.0719, ""Neutral"": 0.0358, ""Positive"": 0.8923}",Positive,yes
This is a very challenging topic 😬😬,Negative,0.4699,"{""Negative"": 0.4699, ""Neutral"": 0.2885, ""Positive"": 0.2416}",Negative,yes
Name := Sanket shelar Age := 18 Mumbai,Neutral,0.8890,"{""Negative"": 0.0653, ""Neutral"": 0.889, ""Positive"": 0.0457}",Neutral,yes
I went from broke to earning millions when I taught my cat to invest in the stock exchange. My cat is now an in-demand broker and can be contacted on …(half of these stupid spam comments),Neutral,0.6020,"{""Negative"": 0.303, ""Neutral"": 0.602, ""Positive"": 0.095}",Neutral,yes
"Oh my goodness this is a result of someone never truly having a job. This moron has milked the government for millions and millions of dollars. He is so pathetically stupid, how could anyone vote for this idiot.",Negative,0.9532,"{""Negative"": 0.9532, ""Neutral"": 0.013, ""Positive"": 0.0338}",Negative,yes
"Mexifornia, the late great state of California, is losing their best and brightest young families and their parents, grandparents are following, taking their businesses and wealth with them, Idaho, Arizona, the Carolinas,Tennessee, Texas and Florida, all RED states with better schools🇺🇸🇺🇸",Positive,0.3566,"{""Negative"": 0.2977, ""Neutral"": 0.3457, ""Positive"": 0.3566}",Positive,yes
Biden lecturing about the abused of power is fucking insane on a whole new level.,Negative,0.8339,"{""Negative"": 0.8339, ""Neutral"": 0.0261, ""Positive"": 0.14}",Negative,yes
"Can anyone please tell me, how to code this program on a locally installed version of python. I mean, in neet/leet code, linked lists are predefined. I can't solve this problem on my local pc, without defining a list first.",Neutral,0.8971,"{""Negative"": 0.0597, ""Neutral"": 0.8971, ""Positive"": 0.0432}",Neutral,yes
Don't buy the 14 Pro Max; get the 16 with a 60Hz screen and just two cameras 😂,Neutral,0.5216,"{""Negative"": 0.3812, ""Neutral"": 0.5216, ""Positive"": 0.0972}",Negative,no
"As someone who unfortunately overthinks and has a lot of empathy, even knowing it's safe, I wouldn't be able to bring myself to eat it.",Negative,0.6713,"{""Negative"": 0.6713, ""Neutral"": 0.1927, ""Positive"": 0.136}",Negative,yes
"Saying Biden has been a disaster is like, repeat, say the line again.",Negative,0.6811,"{""Negative"": 0.6811, ""Neutral"": 0.2239, ""Positive"": 0.095}",Negative,yes
blood sausage????,Neutral,0.7428,"{""Negative"": 0.2311, ""Neutral"": 0.7428, ""Positive"": 0.026}",Neutral,yes
What in the world is this....,Neutral,0.5246,"{""Negative"": 0.4524, ""Neutral"": 0.5246, ""Positive"": 0.0231}",Negative,no
That women politician was completely clueless what the hell was she talking about Rupert was spot on as usual,Negative,0.4791,"{""Negative"": 0.4791, ""Neutral"": 0.0964, ""Positive"": 0.4245}",Positive,no
ахахаха парень тупой и не знает что такое инверсия . есть даже в самом примитивном приложении. Как он вообще ещё догадался что нужно подсветку сделать,Neutral,0.6180,"{""Negative"": 0.2459, ""Neutral"": 0.618, ""Positive"": 0.1361}",Negative,no
The empty danimals in the back cup holder is so real,Neutral,0.5019,"{""Negative"": 0.1159, ""Neutral"": 0.5019, ""Positive"": 0.3823}",Neutral,yes
Pls do what works for you,Neutral,0.6907,"{""Negative"": 0.1463, ""Neutral"": 0.6907, ""Positive"": 0.163}",Neutral,yes
"thank you for the video. Given that I'm utilizing Angular as my JavaScript library, how might I implement the toggle functionality?",Neutral,0.5700,"{""Negative"": 0.1038, ""Neutral"": 0.57, ""Positive"": 0.3261}",Neutral,yes
Wow is girl new is so so cute💛😍🥰,Positive,0.5775,"{""Negative"": 0.2122, ""Neutral"": 0.2104, ""Positive"": 0.5775}",Positive,yes
Wow...matt should receive the medal of honor 🎖. Hopefully he writes a book and makes a movie off of the incident. He's so tough,Positive,0.7238,"{""Negative"": 0.1301, ""Neutral"": 0.1461, ""Positive"": 0.7238}",Positive,yes
"When I had a concussion, my partner handed me the TV remote and asked me to lower the volume down; I gazed at it as if it had come from outer space. He then called an ambulance.",Negative,0.5519,"{""Negative"": 0.5519, ""Neutral"": 0.3239, ""Positive"": 0.1242}",Neutral,no
"Hello Tim, sorry, but nothing more than the many tutorials on this subject. I would have hoped from you that you would divide the screen for four cameras, that you say after 5 seconds start cam 1, the body is in front of cam 2 so it starts after the first one goes off if it detects a body. I would have wanted you to show how the video can take a photo when you detect the face ... ect but you still the best;)",Negative,0.4332,"{""Negative"": 0.4332, ""Neutral"": 0.3936, ""Positive"": 0.1733}",Negative,yes
We're looking for a complete digital marketing course,Neutral,0.7628,"{""Negative"": 0.1087, ""Neutral"": 0.7628, ""Positive"": 0.1285}",Neutral,yes
If you have make more than 21 trillion dollars a year then you might be close to making to much money. If you are below that I think you are ok.,Neutral,0.4970,"{""Negative"": 0.2342, ""Neutral"": 0.497, ""Positive"": 0.2688}",Neutral,yes
Are we seriously having phone debates in 2025? 😔,Neutral,0.5123,"{""Negative"": 0.4695, ""Neutral"": 0.5123, ""Positive"": 0.0182}",Negative,no
I have just found NeetCode150 on yesterday!! Thanks so much for you guys to contribute the so nice study resources to help beginners to start Data structures and algorithms!,Positive,0.7879,"{""Negative"": 0.0419, ""Neutral"": 0.1702, ""Positive"": 0.7879}",Positive,yes
"That lady made German sound lovely. R.I.P to the Queen. Met her once at the local church very small woman, very polite.",Positive,0.7851,"{""Negative"": 0.0458, ""Neutral"": 0.1691, ""Positive"": 0.7851}",Positive,yes
Need to learn PHP for my next project at work. You are my hope.,Positive,0.8451,"{""Negative"": 0.0356, ""Neutral"": 0.1193, ""Positive"": 0.8451}",Positive,yes
"switch (age) { case 1: System.out.println(""monday""); break; case 2: System.out.println(""tuesday""); break; case 3: System.out.println(""wednesday""); break; case 4: System.out.println(""thursday""); break; case 5: System.out.println(""friday""); break; case 6: System.out.println(""saturday""); break; case 7: System.out.println(""sunday""); break; default: System.out.println(""Not in this calander""); break;",Neutral,0.7525,"{""Negative"": 0.0844, ""Neutral"": 0.7525, ""Positive"": 0.1631}",Positive,no
"GOP for Sale, Foreign Money Welcome. Have we had enough America? Remove the Electoral Process, it is unconstitutional. Every VOTE should count during a presidential election. This is not a State issue. #45*, Moscow Mitch and NRA betrayed our country and are Russian Entities funnelling money to the Russian Republicans. Follow the foreign money being invested in America. The TRUTH is There.",Negative,0.8321,"{""Negative"": 0.8321, ""Neutral"": 0.0115, ""Positive"": 0.1564}",Negative,yes
"Ma'am, please include projects centered around cyber security.",Neutral,0.9056,"{""Negative"": 0.0775, ""Neutral"": 0.9056, ""Positive"": 0.0169}",Neutral,yes
I'd watch this channel more if they'd get some more news hosts other than this lady.,Negative,0.4096,"{""Negative"": 0.4096, ""Neutral"": 0.2811, ""Positive"": 0.3092}",Neutral,no
Why post this without the end? Are you stupid?,Negative,0.8448,"{""Negative"": 0.8448, ""Neutral"": 0.1323, ""Positive"": 0.023}",Negative,yes
Being stronger than steel and only 1/3 the weight is actually worse than titanium which is around 45% lighter than steel,Neutral,0.4174,"{""Negative"": 0.3651, ""Neutral"": 0.4174, ""Positive"": 0.2175}",Negative,no
"sir, you are doing stupendous job. May you live long and doing your work with the same impetus. I am from pakistan and i am very greatfull to you for making these videos free of cost. seriously harry bhai i have no words to say thanks to you. keep doing and shining with your effective vedios,",Positive,0.9154,"{""Negative"": 0.077, ""Neutral"": 0.0076, ""Positive"": 0.9154}",Positive,yes
"please guys, where is this appending for the plot answer ????????????????",Neutral,0.6859,"{""Negative"": 0.3075, ""Neutral"": 0.6859, ""Positive"": 0.0066}",Negative,no
"I realize this is an older comment, but he's been dealing with a mental health condition for many years. He's not doing well.",Neutral,0.4539,"{""Negative"": 0.3678, ""Neutral"": 0.4539, ""Positive"": 0.1783}",Neutral,yes
I have a question actually. why you create jwt token and hashed the password in model rather than in controller?,Neutral,0.8640,"{""Negative"": 0.1307, ""Neutral"": 0.864, ""Positive"": 0.0053}",Neutral,yes
Anyone watching this in 2025? 😅 👇,Neutral,0.8101,"{""Negative"": 0.1469, ""Neutral"": 0.8101, ""Positive"": 0.043}",Neutral,yes
Imagine Gavin Newsom being the leader of an entire country. Worst nightmare. Wait... I live that nightmare every day in Canada.,Negative,0.9017,"{""Negative"": 0.9017, ""Neutral"": 0.0776, ""Positive"": 0.0207}",Negative,yes
Amego jajajaja,Neutral,0.6180,"{""Negative"": 0.2459, ""Neutral"": 0.618, ""Positive"": 0.1361}",Neutral,yes
We want to see the hostages not your media lying mouth take the camera off yourself. $&@!,Negative,0.8050,"{""Negative"": 0.805, ""Neutral"": 0.0451, ""Positive"": 0.1499}",Negative,yes
"Could you create a more in-depth tutorial video on developing Android applications using KOTLIN, please?",Neutral,0.8897,"{""Negative"": 0.05, ""Neutral"": 0.8897, ""Positive"": 0.0603}",Neutral,yes
What happens if internet shot down happened all over the world just like Covid lock down,Neutral,0.6184,"{""Negative"": 0.3585, ""Neutral"": 0.6184, ""Positive"": 0.0231}",Neutral,yes
"Come on now, I can’t watch this video with the alarm beepin cuz the wife thinks we’re all gonna die!!😅",Neutral,0.4660,"{""Negative"": 0.3204, ""Neutral"": 0.466, ""Positive"": 0.2137}",Negative,no
Thankyou thankyou thankyou,Positive,0.9693,"{""Negative"": 0.0042, ""Neutral"": 0.0266, ""Positive"": 0.9693}",Positive,yes
Ng pasikat lg mga congress ng drama lg galit2 kuno ...,Neutral,0.5782,"{""Negative"": 0.27, ""Neutral"": 0.5782, ""Positive"": 0.1518}",Negative,no
This man's outerwear speaks volumes. Refrain from providing him monetary support!,Negative,0.7066,"{""Negative"": 0.7066, ""Neutral"": 0.1784, ""Positive"": 0.115}",Negative,yes
Many Thanks,Positive,0.8715,"{""Negative"": 0.0168, ""Neutral"": 0.1117, ""Positive"": 0.8715}",Positive,yes
We need some way of getting Joy to vacation in Ukraine before her trip to Italy. What about a possible GO FUND ME?,Neutral,0.5960,"{""Negative"": 0.0491, ""Neutral"": 0.596, ""Positive"": 0.3549}",Negative,no
1 DETAILS TAG😂😂,Neutral,0.5075,"{""Negative"": 0.2868, ""Neutral"": 0.5075, ""Positive"": 0.2057}",Positive,no
"You're too focused on Flutter, and you're giving it incorrect wins.",Negative,0.7393,"{""Negative"": 0.7393, ""Neutral"": 0.1942, ""Positive"": 0.0665}",Negative,yes
How am I now realizing that the P in Swaggy P makes zero sense 😂😂😂😂,Positive,0.5015,"{""Negative"": 0.419, ""Neutral"": 0.0795, ""Positive"": 0.5015}",Neutral,no
"Lots of love from Tim ,you're awesome. ❤❤❤❤",Positive,0.8222,"{""Negative"": 0.0347, ""Neutral"": 0.143, ""Positive"": 0.8222}",Positive,yes
Bro it says playstation,Negative,0.6326,"{""Negative"": 0.6326, ""Neutral"": 0.3287, ""Positive"": 0.0387}",Negative,yes
"That was actually nice, but at the end was funnyyyyyyy😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",Neutral,0.4569,"{""Negative"": 0.3479, ""Neutral"": 0.4569, ""Positive"": 0.1953}",Positive,no
"Kindly inform me if Business Analysts or Project Managers can utilize this Generative AI, and whether it benefits them in their roles. Thank you.",Neutral,0.8561,"{""Negative"": 0.0251, ""Neutral"": 0.8561, ""Positive"": 0.1187}",Neutral,yes
"Nah this is legit, if you have iq in 2 digit only then you will be fooled",Negative,0.6407,"{""Negative"": 0.6407, ""Neutral"": 0.1669, ""Positive"": 0.1925}",Negative,yes
"What in the cinnamon toast F…is this shit?! Go ahead. Just tell us. What part of California, New York, Illinois, or Oregon is this taking place in. It looks like something to fix a blood shortage in a distant future where vampires rule the world😐",Negative,0.5331,"{""Negative"": 0.5331, ""Neutral"": 0.3827, ""Positive"": 0.0841}",Negative,yes
"You are brave man, President Trump, sitting with the snakes",Positive,0.7516,"{""Negative"": 0.2197, ""Neutral"": 0.0287, ""Positive"": 0.7516}",Negative,no
Why not be in the wnba and keep mak8ng that shot. C'mon now,Negative,0.6258,"{""Negative"": 0.6258, ""Neutral"": 0.2731, ""Positive"": 0.1011}",Neutral,no
I require you to shut your shoes.,Negative,0.7485,"{""Negative"": 0.7485, ""Neutral"": 0.243, ""Positive"": 0.0085}",Neutral,no
They all look guilty 😔,Negative,0.4415,"{""Negative"": 0.4415, ""Neutral"": 0.3286, ""Positive"": 0.2299}",Negative,yes
Definitely looking into this for my next phone!,Neutral,0.4745,"{""Negative"": 0.1285, ""Neutral"": 0.4745, ""Positive"": 0.397}",Positive,no
"Aww, thank you for helping this Mom!❤❤",Positive,0.9704,"{""Negative"": 0.0032, ""Neutral"": 0.0264, ""Positive"": 0.9704}",Positive,yes
"I just watched your responsive portfolio website series and realized ""Oh, looks like I've been doing Sass wrong"" *me, goes to Brad's YouTube to see that he uploaded a course on this 6 days ago*. Awesome!",Neutral,0.5233,"{""Negative"": 0.0675, ""Neutral"": 0.5233, ""Positive"": 0.4092}",Positive,no
may pananagutan Ang PADEA maari may connection kay Duterte Ang PADEA?,Positive,0.3809,"{""Negative"": 0.3548, ""Neutral"": 0.2644, ""Positive"": 0.3809}",Neutral,no
Keep this in mind when elections come around!,Neutral,0.7223,"{""Negative"": 0.0829, ""Neutral"": 0.7223, ""Positive"": 0.1948}",Neutral,yes
Mast lecture mja aa gya ❤❤❤,Positive,0.6961,"{""Negative"": 0.2022, ""Neutral"": 0.1017, ""Positive"": 0.6961}",Positive,yes
In my country a person like Trump would not be allowed to be a member of a political party let alone be in a position of authority.,Negative,0.3879,"{""Negative"": 0.3879, ""Neutral"": 0.2933, ""Positive"": 0.3188}",Negative,yes
"I don't play Rust, I'm here for the chill vibes. This has been one of my favourite videos of yours.",Positive,0.8892,"{""Negative"": 0.0203, ""Neutral"": 0.0906, ""Positive"": 0.8892}",Positive,yes
"Louisiana shall be so Sad, 7th son of a 7th son. Tampa",Negative,0.7490,"{""Negative"": 0.749, ""Neutral"": 0.1373, ""Positive"": 0.1137}",Neutral,no
"On throughout my learning journey of using Rust as my first language :), I will begin my first project after the 11.3 section",Neutral,0.6083,"{""Negative"": 0.0917, ""Neutral"": 0.6083, ""Positive"": 0.3}",Neutral,yes
The U.S would never act militarily against Canada they are probably our closest ally. We❤️ our Canadian neighbors.,Negative,0.5733,"{""Negative"": 0.5733, ""Neutral"": 0.1208, ""Positive"": 0.3058}",Positive,no
I love eating the Sushi Rice from LundBerg!! You should try it! My dad used to work there since we lived in a small near there! 😊 Happy New Year to you!,Neutral,0.5189,"{""Negative"": 0.0873, ""Neutral"": 0.5189, ""Positive"": 0.3937}",Positive,no
"I didn't even know fading smile can be translated to sound... But here we are, listening to YMCA x Clair de Lune",Neutral,0.5395,"{""Negative"": 0.3358, ""Neutral"": 0.5395, ""Positive"": 0.1247}",Neutral,yes
"You really shouldn't encourage the use of 'namespace std', especially in tutorials for beginners. Using this namespace is a very common cause of errors and bugs and is easily avoidable.",Negative,0.6983,"{""Negative"": 0.6983, ""Neutral"": 0.0914, ""Positive"": 0.2103}",Negative,yes
Legends watching 👀in 2023! 🖐,Neutral,0.8250,"{""Negative"": 0.0068, ""Neutral"": 0.825, ""Positive"": 0.1682}",Neutral,yes
you are the best,Positive,0.9345,"{""Negative"": 0.0393, ""Neutral"": 0.0262, ""Positive"": 0.9345}",Positive,yes
This channel will reach 10 million mark my words,Positive,0.4871,"{""Negative"": 0.3242, ""Neutral"": 0.1887, ""Positive"": 0.4871}",Positive,yes
Omg😂😂😂😂😂😂😂,Positive,0.6703,"{""Negative"": 0.1439, ""Neutral"": 0.1858, ""Positive"": 0.6703}",Positive,yes
Stay strong Justice Kavanaugh. True righteous Americans support you!!,Positive,0.8700,"{""Negative"": 0.0455, ""Neutral"": 0.0846, ""Positive"": 0.87}",Positive,yes
"We need more immeasurably wise and compassionate humans like you on this planet. Thank you for sharing *Deep web experts on the WEB* . I bet I'm not alone when I say this video found me at the perfect moment, and there are a lot of things here that I needed to hear right now.",Positive,0.9020,"{""Negative"": 0.0044, ""Neutral"": 0.0936, ""Positive"": 0.902}",Positive,yes
"import java.util.Scanner; public class test { public static void Main(String[] args) { Scanner scanner = new scanner(System.in); System.out.print(""pls enter your name""); String name = scanner.next(); } } Could someone assist me with this code, please?",Neutral,0.4640,"{""Negative"": 0.3647, ""Neutral"": 0.464, ""Positive"": 0.1713}",Neutral,yes
O iha catholik roma force no have money lifeeee,Neutral,0.6219,"{""Negative"": 0.3652, ""Neutral"": 0.6219, ""Positive"": 0.0129}",Neutral,yes
"Its been a long four years. Finally, lets make America great again!",Positive,0.7685,"{""Negative"": 0.1679, ""Neutral"": 0.0636, ""Positive"": 0.7685}",Positive,yes
"Thank you.. SO MUCH!!!...for THE FACTS!!!, wake-up call, and bravery to disclose to the public what we need to know!",Positive,0.8568,"{""Negative"": 0.0091, ""Neutral"": 0.1341, ""Positive"": 0.8568}",Positive,yes
That's exactly me and my brother you fight he punched me in the eye yesterday and I kindly put them back that's how we show kindness if someone punches you,Neutral,0.4675,"{""Negative"": 0.1606, ""Neutral"": 0.4675, ""Positive"": 0.372}",Neutral,yes
