text,label_annotator_1,label_annotator_2,gold_label,is_disputed
"Kindly inform me if Business Analysts or Project Managers can utilize this Generative AI, and whether it benefits them in their roles. Thank you.",Neutral,Neutral,Neutral,no
"Nah this is legit, if you have iq in 2 digit only then you will be fooled",Negative,Negative,Negative,no
"What in the cinnamon toast F…is this shit?! Go ahead. Just tell us. What part of California, New York, Illinois, or Oregon is this taking place in. It looks like something to fix a blood shortage in a distant future where vampires rule the world😐",Negative,Negative,Negative,no
"You are brave man, President Trump, sitting with the snakes",Positive,Positive,Positive,no
Why not be in the wnba and keep mak8ng that shot. C'mon now,Negative,Negative,Negative,no
I require you to shut your shoes.,Neutral,Neutral,Neutral,no
They all look guilty 😔,Neutral,Neutral,Neutral,no
Definitely looking into this for my next phone!,Positive,Positive,Positive,no
"Aww, thank you for helping this Mom!❤❤",Positive,Positive,Positive,no
"I just watched your responsive portfolio website series and realized ""Oh, looks like I've been doing Sass wrong"" *me, goes to Brad's YouTube to see that he uploaded a course on this 6 days ago*. Awesome!",Positive,Positive,Positive,no
may pananagutan Ang PADEA maari may connection kay Duterte Ang PADEA?,Neutral,Neutral,Neutral,no
Keep this in mind when elections come around!,Neutral,Neutral,Neutral,no
Mast lecture mja aa gya ❤❤❤,Positive,Positive,Positive,no
In my country a person like Trump would not be allowed to be a member of a political party let alone be in a position of authority.,Negative,Negative,Negative,no
"I don't play Rust, I'm here for the chill vibes. This has been one of my favourite videos of yours.",Positive,Positive,Positive,no
"Louisiana shall be so Sad, 7th son of a 7th son. Tampa",Neutral,Neutral,Neutral,no
"On throughout my learning journey of using Rust as my first language :), I will begin my first project after the 11.3 section",Positive,Positive,Positive,no
The U.S would never act militarily against Canada they are probably our closest ally. We❤️ our Canadian neighbors.,Positive,Positive,Positive,no
I love eating the Sushi Rice from LundBerg!! You should try it! My dad used to work there since we lived in a small near there! 😊 Happy New Year to you!,Positive,Positive,Positive,no
"I didn't even know fading smile can be translated to sound... But here we are, listening to YMCA x Clair de Lune",Positive,Positive,Positive,no
"You really shouldn't encourage the use of 'namespace std', especially in tutorials for beginners. Using this namespace is a very common cause of errors and bugs and is easily avoidable.",Negative,Negative,Negative,no
Legends watching 👀in 2023! 🖐,Neutral,Neutral,Neutral,no
you are the best,Positive,Positive,Positive,no
This channel will reach 10 million mark my words,Positive,Positive,Positive,no
Omg😂😂😂😂😂😂😂,Neutral,Neutral,Neutral,no
Stay strong Justice Kavanaugh. True righteous Americans support you!!,Positive,Positive,Positive,no
"We need more immeasurably wise and compassionate humans like you on this planet. Thank you for sharing *Deep web experts on the WEB* . I bet I'm not alone when I say this video found me at the perfect moment, and there are a lot of things here that I needed to hear right now.",Positive,Positive,Positive,no
"import java.util.Scanner; public class test { public static void Main(String[] args) { Scanner scanner = new scanner(System.in); System.out.print(""pls enter your name""); String name = scanner.next(); } } Could someone assist me with this code, please?",Neutral,Neutral,Neutral,no
O iha catholik roma force no have money lifeeee,Neutral,Neutral,Neutral,no
"Its been a long four years. Finally, lets make America great again!",Positive,Positive,Positive,no
"Thank you.. SO MUCH!!!...for THE FACTS!!!, wake-up call, and bravery to disclose to the public what we need to know!",Positive,Positive,Positive,no
That's exactly me and my brother you fight he punched me in the eye yesterday and I kindly put them back that's how we show kindness if someone punches you,Neutral,Neutral,Neutral,no
Why does this look like it was done on PURPOSE! Anyone else feel like this?,Neutral,Neutral,Neutral,no
Anybody here from 2010?,Neutral,Neutral,Neutral,no
i am also using IdeaPad 310.. but it is bit slow maybe because of hdd and no ssd..,Neutral,Neutral,Neutral,no
Wow! The best explanation so far within just few minutes! Thanks!,Positive,Positive,Positive,no
This is super helpful! Ty :),Positive,Positive,Positive,no
WOW EVERYTHING IS JUST WOW THE PERSON THE PEOPLE SUPPORTING THE PLACE THE RAMPS EVERYTHING! THESE PEOPLE ARE SO KIND HEARTED!,Positive,Positive,Positive,no
"I use Fedora, Mint and Debian 11...all are great and easy to use. thanks for offering these courses. ;)",Positive,Positive,Positive,no
You are so amazing James God Bless you and your family and friends and please all your co actors hear this amazing human being.❤❤❤,Positive,Positive,Positive,no
This problem destroyed my confidence.,Negative,Negative,Negative,no
Just a friendly reminder: A few days after Halloween is the best time to throw away the orange pumkin(g)! VOTE!!!,Neutral,Neutral,Neutral,no
INFTY3 Token still presents opportunities even if we missed out on other coins. What makes it an attractive investment?,Neutral,Neutral,Neutral,no
Very nice information sir .. Sir bhut yese video dekhte the khi v step by step ads ka course nhi krate the but aapki agar harek part ko dekh le to syd hme lgta hai ki wo 99percent to jarur sikh jayega 👍👌👌very nice 🙏🙏,Positive,Positive,Positive,no
Why are they thinking of telling people not to even go out for a jog? Doesn't social distancing work? Is it permanently airborne?,Neutral,Neutral,Neutral,no
"just politely sharing a video for how to pronounce available, otherwise pretty good English.",Neutral,Neutral,Neutral,no
Lmfao eyy another john Travolta movie iv never heard of😂 love this actor,Positive,Positive,Positive,no
The Floral apron 😂,Neutral,Neutral,Neutral,no
my mouth always hurts after opening gifts because of how much I fake smiles,Negative,Negative,Negative,no
